id,field,old,new,confidence
99,author,Lok Bharti Prakashan,Mahadevi Varma,high
99,publisher,Lok Bharti Prakashan Allahabad,"Lokbharti Prakashan, Allahabad",high
100,publisher,Shiksha Bharti Delhi,"Shiksha Bharti, Delhi",medium
101,title,Dhuruswami,Dhruvswamini,medium
101,author,,Jaishankar Prasad,medium
102,title,Jayant-natak,Jayant (Natak),medium
102,author,"Tripathi, ramnaresh(sampadak)",Ramnaresh Tripathi,medium
102,publisher,Hindi Mandir Sultanpur,"Hindi Mandir, Sultanpur",medium
103,title,Skandgupt-jaishanker Prasad,Skandgupt,high
103,author,Diamond Pocket Books,Jaishankar Prasad,high
103,publisher,Diamond Pocket Books Delhi,"Diamond Pocket Books, Delhi",high
103,language,English,Hindi,high
104,title,Bhartiye Itihaas Kosh,Bharatiya Itihas Kosh,high
104,author,"Bhattacharya, sachinanda",Sachchidananda Bhattacharya,high
104,publisher,Hindi Sansthan U.P.,"Hindi Sansthan, U.P.",high
105,title,Ujjyini Aur Mahakaal,Ujjayini Aur Mahakal,medium
105,publisher,Prachya Niketan Ujjain,"Prachya Niketan, Ujjain",medium
106,title,Historical Atles Of The Indian Penisula,An Historical Atlas of the Indian Peninsula,high
106,author,Daves Collin,C. Collin Davies,high
107,title,Khato Ka Safernama-amratapritam Aur Imroz,Khaton Ka Safarnama: Amrita Pritam Aur Imroz,high
107,author,"Trilok, uma (sampadak)",Uma Trilok,high
107,publisher,Hind Pocket Books Delhi,"Hind Pocket Books, Delhi",high
107,language,English,Hindi,high
108,title,Naya Daur (avadh Ank),Naya Daur (Avadh Ank),medium
108,author,Suchna Avom Jansampark Vibhag U.P.,"Suchna Evam Jansampark Vibhag, U.P.",medium
108,publisher,Suchna Avom Jansampark Vibhag U.P.,"Suchna Evam Jansampark Vibhag, U.P.",medium
109,author,Shiv Kheda,Shiv Khera,high
109,publisher,Phool Circle Delhi,"Full Circle, Delhi",high
110,title,Dudhwa Rashtriya Uddhyan,Dudhwa Rashtriya Udyan,medium
110,author,"Singh, ramlakhan",Ram Lakhan Singh,medium
110,publisher,Bison Singh Mahendra Pal Singh Dehradun,"Bishen Singh Mahendra Pal Singh, Dehradun",medium
111,title,Udaipur Rajya Ka Itihaas - Pratham Khand,"Udaipur Rajya Ka Itihas, Pratham Khand",high
111,author,Ojha Gaurishanker Hirachand,Gaurishankar Hirachand Ojha,high
111,publisher,Rajasthani Granthgaar Jodhpur,"Rajasthani Granthagar, Jodhpur",high
112,title,Rashmirathi-ramdhari Singh Dinkar,Rashmirathi,high
112,author,Lokbharti Prakashan,Ramdhari Singh Dinkar,high
113,title,Hriday Rog Se Mukti-atmkatha,Hriday Rog Se Mukti,high
113,author,"Vang, abhay",Abhay Bang,high
114,title,Ghareloo Bagwani Kaise Karein,Gharelu Bagwani Kaise Karen,medium
114,author,"Shahi, shashikala",Shashikala Shahi,medium
114,language,English,Hindi,medium
115,author,"Shankdhar, n.k.",N. K. Shankdhar,medium
115,publisher,L.k.diabetic Centre,L. K. Diabetic Centre,medium
116,title,Naari Dharmshashtra,Nari Dharmashastra,medium
116,author,"Pandey, ramtej",Ramtej Pandey,medium
116,publisher,Bhargava Pustakalaya Banaras,"Bhargava Pustakalaya, Banaras",medium
117,title,Phool Aur Tarkariyon Ka Sarakshan,Phool Aur Tarkariyon Ka Sanrakshan,medium
117,author,"Garg, s.k.",S. K. Garg,medium
118,title,Sanskrit Saurabh Bhag-2,Sanskrit Saurabh Bhag 2,medium
118,publisher,Neeta Prakashn,Neeta Prakashan,medium
121,title,Sakshi-desh Ki Paramparik Lok Shailiyon Mein Ram Katha Par Ekarg,Sakshi: Desh Ki Paramparik Lok Shailiyon Mein Ram Katha Par Ekagra,medium
121,publisher,"Ayodhya Shodh Sansthan, faizabad","Ayodhya Shodh Sansthan, Faizabad",medium
122,author,Chatur Acharya,Acharya Chatursen,high
122,publisher,Rajpal Prakashan Delhi,"Rajpal Prakashan, Delhi",high
123,title,Meri Priy Kahaniya,Meri Priya Kahaniyan,high
123,author,"Verma, bhagwaticharan",Bhagwaticharan Verma,high
123,publisher,Rajpal Prakashan Delhi,"Rajpal Prakashan, Delhi",high
124,title,Haldi Ghati,Haldighati,high
124,author,"Pandey, shyamnarayan",Shyamnarayan Pandey,high
124,publisher,Indian Press Allahabad,"Indian Press, Allahabad",high
125,title,Sati Drowpadi,Sati Draupadi,medium
125,publisher,Geeta Press,Gita Press,medium
126,title,Podash Sanskar Paddhati,Shodash Sanskar Paddhati,medium
126,author,Gautam Chamanlal (sampadak),Chamanlal Gautam,medium
126,publisher,Sanskrit Sansthan Barelly,"Sanskriti Sansthan, Bareilly",medium
127,author,"Tripathi, shreeprakash Mani",Shreeprakash Mani Tripathi,medium
127,publisher,Pratyush Publication Delhi,"Pratyush Publication, Delhi",medium
128,title,Seva Nivratti Labh Avom Parivarik Pension Yojna Niyam Adhesh Sankalan,Seva Nivritti Labh Evam Parivarik Pension Yojna Niyam Adesh Sankalan,medium
128,author,"U.p.shahshan, vitt Vibhag","Vitt Vibhag, Uttar Pradesh Shasan",medium
128,publisher,U.p.shahshan,Uttar Pradesh Shasan,medium
129,title,Police Niyukti Siddhant Avom Vyavhar,Police Niyukti: Siddhant Evam Vyavhar,medium
129,author,"Mishra, trinath",Trinath Mishra,medium
129,publisher,Police Trainning College Muradabad,"Police Training College, Moradabad",medium
130,title,Vishwa Prashid Kahaniyaan,Vishwa Prasiddh Kahaniyan,medium
130,publisher,Granth Academy Delhi,"Granth Academy, Delhi",medium
131,title,The Invisble Man,The Invisible Man,high
131,author,"Wells, h.g.",H. G. Wells,high
131,publisher,Vikas Pub.house,Vikas Publishing House,high
132,title,Selected Eassys From Spectator,Selected Essays from The Spectator,medium
132,author,"Asthana, b.p.(ed)",B. P. Asthana,medium
132,publisher,Sahity Bhandar Meerut,"Sahitya Bhandar, Meerut",medium
134,author,"Robert, g.d",Gregory David Roberts,high
134,publisher,Abacus Londan,"Abacus, London",high
135,title,Political Terrorism An Indictment Of Impercalism,Political Terrorism: An Indictment of Imperialism,high
135,author,"Pankav, yu",Yuri Pankov,high
135,publisher,Progresspub Mascov,"Progress Publishers, Moscow",high
136,title,Mistakes To Avoid In English,Mistakes to Avoid in English,high
136,author,Harward Peter,Peter Howard,high
136,publisher,Orint Longman,Orient Longman,high
137,author,Harward Peter,Peter Howard,high
137,publisher,Orint Longman,Orient Longman,high
138,author,Swami Sivanand,Swami Sivananda,high
138,publisher,Devine Life Society Tehrigarwal,"Divine Life Society, Tehri-Garhwal",high
138,language,Hindi,English,high
139,author,Captain Marryat,Frederick Marryat,high
140,title,Candida By Bernard Show,Candida,high
140,author,"Word, a.c. ED.",George Bernard Shaw,high
140,publisher,Orint Longman,Orient Longman,high
140,language,Hindi,English,high
142,title,A Gatherring Of Friends,A Gathering of Friends: My Favourite Stories,high
142,author,Bond Ruskin,Ruskin Bond,high
142,publisher,A Lot Book Company,Aleph Book Company,high
143,title,Abraham Lincolan -a Complete Biography,Abraham Lincoln: A Complete Biography,high
143,author,Bonson G.R.,Lord Charnwood,high
143,publisher,Lexicon Book Delhi,"Lexicon Books, Delhi",high
144,author,Lawe Norman,Norman Lowe,high
144,publisher,Macmillan India Delhi,"Macmillan India, Delhi",high
145,title,Smash Hit Party Games,Smash-Hit Party Games,high
145,author,"Nicholson, joyce",Joyce Nicholson,high
145,language,Hindi,English,high
146,title,The Three Mistakes Of My Life,The 3 Mistakes of My Life,high
146,author,"Bhagat, chetan",Chetan Bhagat,high
146,publisher,Rupa Publication New Delhi,"Rupa Publications, New Delhi",high
147,title,The Indian Journal Of Public Administration,The Indian Journal of Public Administration,high
147,author,"Agarwal, u.c ED.",U. C. Agarwal (Ed.),high
147,publisher,Indian Journal Pub.admin.new Delhi,"Indian Institute of Public Administration, New Delhi",high
148,author,Reader Digest,Reader's Digest,high
148,publisher,Reader Digest Canada,"Reader's Digest, Canada",high
148,language,Hindi,English,high
149,title,The Terumala Temple,The Tirumala Temple,high
149,author,"Rameson, n.",N. Ramesan,high
149,publisher,Tirumala Tripati Devas Thanams,Tirumala Tirupati Devasthanams,high
150,title,Mind Wise,Mindwise,high
150,author,"Epley, nicholas",Nicholas Epley,high
151,title,Jinnah - India-partition-independence,"Jinnah: India, Partition, Independence",high
151,publisher,Rupa Publication New Delhi,"Rupa Publications, New Delhi",high
152,title,The National Calture Of India,The National Culture of India,high
152,author,Abid Hussain.s,S. Abid Husain,high
152,language,Hindi,English,high
153,title,Two Faces Of Indira Gandhi,Two Faces of Indira Gandhi,high
153,author,Vasudev Uma,Uma Vasudev,high
153,publisher,Vikas Pub.house,Vikas Publishing House,high
154,title,The Gangas In Myth And History,The Ganges in Myth and History,high
154,author,"Darian, steven G.",Steven G. Darian,high
154,publisher,University Press Hawai,University Press of Hawaii,high
155,title,The Nationalist Mivement In India,The Nationalist Movement in India,medium
155,author,Mahadev Vidhya Dhar,Vidya Dhar Mahajan,medium
155,publisher,Sterling Pubs New Delhi,"Sterling Publishers, New Delhi",medium
156,title,Reminiscencas Of Nehru Age,Reminiscences of the Nehru Age,high
156,author,Mathai.m.o.,M. O. Mathai,high
156,publisher,Vikas Pub.house,Vikas Publishing House,high
157,title,The Oxford History Of India,The Oxford History of India,high
157,author,"Smith, Vincant A",Vincent A. Smith,high
158,title,The House Of Marwar,The House of Marwar,high
158,author,Singh Dhananjaya,Dhananjaya Singh,high
158,publisher,Lotus Collection New Delhi,"Lotus Collection, New Delhi",high
159,title,The Autobiography Of Unknown Indian,The Autobiography of an Unknown Indian,high
159,author,Chaudhari. Nirad C.,Nirad C. Chaudhuri,high
159,publisher,Jaico Pub House Delhi,"Jaico Publishing House, Delhi",high
160,title,City Of Djinns : A Year In Delhi,City of Djinns: A Year in Delhi,high
160,author,"Dalrumple , William",William Dalrymple,high
161,title,A Short History Of English Liteture,A Short History of English Literature,high
161,author,Evans Ifore,Ifor Evans,high
162,title,The Art Of Thinking Clearly,The Art of Thinking Clearly,high
162,author,Dodelli Rolf,Rolf Dobelli,high
162,publisher,Hoddler And Stoughtas Londan,"Hodder and Stoughton, London",high
163,author,Turgener I.S.,Ivan Turgenev,medium
163,publisher,Foreph Language Pub.house Moscov,"Foreign Languages Publishing House, Moscow",medium
163,language,Hindi,English,medium
164,title,Where Eaqla Dare,Where Eagles Dare,high
164,author,Maclean Alistair,Alistair MacLean,high
164,publisher,Harper Collins India,HarperCollins India,high
165,title,Think And Grow Rich,Think and Grow Rich,high
165,author,"Napolian, hill",Napoleon Hill,high
165,publisher,D.b.taraporevalu And Sons Bombey,"D. B. Taraporevala Sons, Bombay",high
166,title,Red Earth And Pouring Rain,Red Earth and Pouring Rain,high
166,publisher,Vikas Pub.house,Vikas Publishing House,high
167,title,Letters Of Swami Vivekanand,Letters of Swami Vivekananda,high
167,author,Advaita Ashrama,Swami Vivekananda,high
167,publisher,Adviata Sharam Calcutta,"Advaita Ashrama, Calcutta",high
168,author,"Stine, r.l.",R. L. Stine,medium
168,publisher,Scholastic Line New York,"Scholastic, New York",medium
169,title,The Mystry Of The Magic Circle,The Mystery of the Magic Circle,medium
169,author,"Blyton, enid",M. V. Carey,medium
169,publisher,Basil Blackwell U.K.,"Basil Blackwell, UK",medium
170,title,The Magical Adventures Of The Wishing Chair,The Magical Adventures of the Wishing Chair,high
170,author,"Blyton, enid",Enid Blyton,high
170,publisher,Manworth,Mammoth,high
171,title,Fine Go Adventuring Again,Five Go Adventuring Again,high
171,author,"Blyton, enid",Enid Blyton,high
171,publisher,Hoddar R. Stoughtan G.britain,"Hodder and Stoughton, Great Britain",high
171,language,Hindi,English,high
172,title,Secret Seven On The Trail,Secret Seven on the Trail,high
172,author,"Blyton, enid",Enid Blyton,high
172,publisher,Hoddar R. Stoughtan G.britain,"Hodder and Stoughton, Great Britain",high
173,title,Secrect-seven Fireworks,Secret Seven Fireworks,high
173,author,"Blyton, enid",Enid Blyton,high
173,publisher,Hoddar R. Stoughtan G.britain,"Hodder and Stoughton, Great Britain",high
173,language,Hindi,English,high
174,title,The Squirrel And Pixil,The Squirrel and the Pixie,medium
174,author,"Blyton, enid",Enid Blyton,medium
174,publisher,Award Publication Ltd Londan,"Award Publications, London",medium
175,title,The Vallay If Adventure,The Valley of Adventure,high
175,author,"Blyton, enid",Enid Blyton,high
175,publisher,Mcmillan,Macmillan,high
176,title,Hedgerour Tales,Hedgerow Tales,high
176,author,"Blyton, enid",Enid Blyton,high
176,publisher,Red Fox Londan,"Red Fox, London",high
176,language,Hindi,English,high
177,title,Seventh Bed Time Book,Enid Blyton's Seventh Bedside Book,medium
177,author,"Blyton, enid",Enid Blyton,medium
177,publisher,Armada Warper Collins,Armada / HarperCollins,medium
178,title,Fine O Clock Tales,Five O'Clock Tales,high
178,author,"Blyton, enid",Enid Blyton,high
178,publisher,Mommoth Londan,"Mammoth, London",high
178,language,Hindi,English,high
179,author,"Blyton, enid",Enid Blyton,medium
179,publisher,Collins Harper Pub.,HarperCollins,medium
180,title,Mystry : The Rat A Tat Mystery,The Rat-a-Tat Mystery,high
180,author,"Blyton, enid",Enid Blyton,high
180,publisher,Harper Collins India,HarperCollins India,high
182,title,Nancy Drew : The Case Of The Flooting Crime Files-120,Nancy Drew #120: The Case of the Floating Crime,high
182,author,"Keene, carolyn",Carolyn Keene,high
182,publisher,Pocket Books New York,"Pocket Books, New York",high
183,title,Nancy Drew : 95 An Instinct For Trouble,Nancy Drew #95: An Instinct for Trouble,high
183,author,"Keene, carolyn",Carolyn Keene,high
183,publisher,Pocket Books New York,"Pocket Books, New York",high
184,title,Nancy Drew : 50 Deep Secrets,Nancy Drew Files #50: Deep Secrets,high
184,author,"Keene, carolyn",Carolyn Keene,high
184,publisher,Pocket Books New York,"Pocket Books, New York",high
185,title,The Hardy Boys: The Criss Cross Shadow,The Hardy Boys: The Crisscross Shadow,high
185,author,"Dixon, franklin W",Franklin W. Dixon,high
185,publisher,Diamond Books Londan,"Diamond Books, London",high
186,title,The Hardy Boys: 172 Trouble In Wrap Space,The Hardy Boys #172: Trouble in Warp Space,high
186,author,"Dixon, franklin W",Franklin W. Dixon,high
186,publisher,Aladin Paperback New York,"Aladdin Paperbacks, New York",high
187,title,The Mystery Of The Fleaming Footprints,The Mystery of the Flaming Footprints,high
187,author,"Carey, M.V.",M. V. Carey,high
187,publisher,William Collins Armada,William Collins / Armada,high
188,author,"Defoe, danial",Daniel Defoe,high
188,publisher,Belter Yourself Book Bambay,"Better Yourself Books, Bombay",high
188,language,Hindi,English,high
189,author,Ubs Publishers,UBS Publishers,medium
189,publisher,Ubspd,UBSPD,medium
189,language,Hindi,English,medium
190,title,Great Stories : Oliver Twist,Great Stories: Oliver Twist,high
190,publisher,S.chand And Company New Delhi,"S. Chand and Company, New Delhi",high
191,author,"George, catherine",Catherine George,high
191,publisher,Mills And Boom G.britain,"Mills & Boon, Great Britain",high
192,title,Writers Of To-day,Writers of To-Day,high
192,author,"Baker, d.v. ED.",Denys Val Baker (Ed.),high
192,publisher,Sidgwrick And Jackson,Sidgwick and Jackson,high
193,author,Ubs Publishers,Rudyard Kipling,medium
193,publisher,Ubspd,UBSPD,medium
194,title,Tales Of Robbin Hood,Tales of Robin Hood,medium
194,author,"Pyle , Howard",Howard Pyle,medium
194,publisher,Book Palace Delhi,"Book Palace, Delhi",medium
195,title,Freedom At - Mid Night,Freedom at Midnight,high
195,author,"Collins , Lorry",Larry Collins and Dominique Lapierre,high
